owner,collection,resource_type,id,description
WHO-Smart-Guidelines,IMMZ.C1.DE5-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE10-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE15-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE16-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE18-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE25-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE40-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE41-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE42-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE43-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE44-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.E0.DE46-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE1-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE2-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE4-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE12-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE15-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE18-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE19-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE22-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE24-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE25-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.G1.DE31-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.J1.DE8-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.J1.DE10-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.J1.DE13-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.J1.DE14-values,Collection Version,0.1.0,Initial Load
WHO-Smart-Guidelines,IMMZ.J1.DE15-values,Collection Version,0.1.0,Initial Load
